fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
5,1,base5y,br_modal_long,logit,real,30931,2783,,,,,,0.6304352451411975,0.6563665268496051,0.07689543657923105,0.16085790884718498,0.13402802730865973
5,1,base5y,br_modal_long,logit,shuffle,30931,2783,,,,,,0.5365318960277036,0.5509544060563949,0.07689543657923105,0.12955465587044535,0.08875314408911247
5,1,base5y,br_modal_long,hgb,real,30931,2783,,,,,,0.9876050278485524,0.6738648806946956,0.07689543657923105,0.16233766233766234,0.05533596837944664
5,1,base5y,br_modal_long,hgb,shuffle,30931,2783,,,,,,0.9755844940151318,0.5052913421346537,0.07689543657923105,0.08677685950413223,0.08695652173913043
5,1,base5y,br_modal_short,logit,real,30931,2783,,,,,,0.619099558257769,0.6274736065616542,0.12432626661875673,0.18614718614718614,0.16600790513833993
5,1,base5y,br_modal_short,logit,shuffle,30931,2783,,,,,,0.5262522550281536,0.49149076970880046,0.12432626661875673,0.09032258064516129,0.11139058569888609
5,1,base5y,br_modal_short,hgb,real,30931,2783,,,,,,0.9800558023034486,0.5665498895875484,0.12432626661875673,0.12612612612612611,0.0797700323392023
5,1,base5y,br_modal_short,hgb,shuffle,30931,2783,,,,,,0.9680781167525837,0.46904656298253566,0.12432626661875673,0.058823529411764705,0.061085159899389146
6,1,base5y,fwd2,ridge,real,30765,2777,0.08706053186563646,-0.008555115135168177,0.0033590199025025688,0.03891731766233036,0.20309686712279437,,,,,
6,1,base5y,fwd2,ridge,shuffle,30765,2777,0.024960113643795766,-0.0027017827598134142,0.014355486834212087,0.02727499177208209,0.23082463089665106,,,,,
6,1,base5y,fwd2,hgb,real,30765,2777,0.5297308530467054,0.042540316663692485,0.04481942172487689,0.07922141749900713,0.24882967230824632,,,,,
6,1,base5y,fwd2,hgb,shuffle,30765,2777,0.5448792647776295,0.0012062977662821825,0.02676059140227002,0.02347877449983882,0.17248829672308247,,,,,
6,1,base5y,fwd4,ridge,real,30765,2777,0.10641271963928516,-0.022222261844672093,0.008133944126197099,0.07684064086377047,0.22038170687792583,,,,,
6,1,base5y,fwd4,ridge,shuffle,30765,2777,0.02316837405734937,0.02376787845160665,0.029976180535357104,0.20698880553620255,0.21462009362621534,,,,,
6,1,base5y,fwd4,hgb,real,30765,2777,0.5649913987436652,0.05098754930558452,0.08507355474448952,0.0851389150201328,0.25063017644940583,,,,,
6,1,base5y,fwd4,hgb,shuffle,30765,2777,0.5512888815684327,-0.013547926532007624,0.009968760802649053,-0.07285241110071114,0.1757292041771696,,,,,
6,1,base5y,fwd8,ridge,real,30765,2777,0.10285238427757296,-0.005901259600246593,0.006140971192062765,0.17139123055404712,0.21389989196975154,,,,,
6,1,base5y,fwd8,ridge,shuffle,30765,2777,0.027673151063255526,0.0020937247146089262,0.02167745771631039,0.004342872335714434,0.1886928339935182,,,,,
6,1,base5y,fwd8,hgb,real,30765,2777,0.5973329672540532,0.05053889473003742,0.06495140864804838,0.14381183374454057,0.25135037810586963,,,,,
6,1,base5y,fwd8,hgb,shuffle,30765,2777,0.5456067958077617,0.008544020349922899,0.024713926359481664,0.08126544647186565,0.15088224702916816,,,,,
6,1,base5y,br_canon_long,logit,real,30765,2777,,,,,,0.5640523326828732,0.48587244426322884,0.5052214620093626,0.4448818897637795,0.09146561037090385
6,1,base5y,br_canon_long,logit,shuffle,30765,2777,,,,,,0.5150358737458025,0.5150042381629716,0.5052214620093626,0.5321428571428571,0.10082823190493338
6,1,base5y,br_canon_long,hgb,real,30765,2777,,,,,,0.8720115329970766,0.5279371195639205,0.5052214620093626,0.5388888888888889,0.06481814908174288
6,1,base5y,br_canon_long,hgb,shuffle,30765,2777,,,,,,0.8764744629807821,0.4952643586575242,0.5052214620093626,0.42857142857142855,0.05797623334533669
6,1,base5y,br_canon_short,logit,real,30765,2777,,,,,,0.5622099749310497,0.4842719740244622,0.4782138998919698,0.48148148148148145,0.1166726683471372
6,1,base5y,br_canon_short,logit,shuffle,30765,2777,,,,,,0.5147103679208395,0.524570331013495,0.4782138998919698,0.5038461538461538,0.09362621534029528
6,1,base5y,br_canon_short,hgb,real,30765,2777,,,,,,0.8695687191057195,0.5191521780704599,0.4782138998919698,0.5298013245033113,0.10875045012603529
6,1,base5y,br_canon_short,hgb,shuffle,30765,2777,,,,,,0.8825844977959325,0.5005971089326249,0.4782138998919698,0.49746192893401014,0.07093986316168527
6,1,base5y,br_modal_long,logit,real,30765,2777,,,,,,0.6361359018752516,0.6315675872471005,0.11235145840835434,0.19721577726218098,0.15520345696795101
6,1,base5y,br_modal_long,logit,shuffle,30765,2777,,,,,,0.5307557185415623,0.5295729963072762,0.11235145840835434,0.12716763005780346,0.062297443284119555
6,1,base5y,br_modal_long,hgb,real,30765,2777,,,,,,0.9879949530046948,0.6705180215322204,0.11235145840835434,0.2320675105485232,0.08534389629096147
6,1,base5y,br_modal_long,hgb,shuffle,30765,2777,,,,,,0.9783549826665996,0.48332943256878347,0.11235145840835434,0.09502262443438914,0.079582283039251
6,1,base5y,br_modal_short,logit,real,30765,2777,,,,,,0.6279108158326039,0.5490300459718438,0.11919337414476053,0.1608832807570978,0.22830392509902772
6,1,base5y,br_modal_short,logit,shuffle,30765,2777,,,,,,0.5287194084287782,0.4962797637427652,0.11919337414476053,0.07909604519774012,0.06373784659704718
6,1,base5y,br_modal_short,hgb,real,30765,2777,,,,,,0.9732654932950051,0.5481617438175157,0.11919337414476053,0.13904761904761906,0.1890529348217501
6,1,base5y,br_modal_short,hgb,shuffle,30765,2777,,,,,,0.9645718219226855,0.469916974010222,0.11919337414476053,0.1349206349206349,0.045372704357220024
7,2,base5y,fwd2,ridge,real,30605,2790,0.0837993077339807,0.029063383689490394,0.029137582738379388,0.005241284266791584,0.2057347670250896,,,,,
7,2,base5y,fwd2,ridge,shuffle,30605,2790,0.020528130103973603,-0.005856613895274379,0.008699945396647734,-0.0162365834496425,0.16487455197132617,,,,,
7,2,base5y,fwd2,hgb,real,30605,2790,0.5390470128238171,0.05912153282173428,0.05225108535010397,0.15011832206039746,0.22043010752688172,,,,,
